Node_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0,353,297,163,586,635,230,999,490,4043,510,1095,873,766,1378,1416,1799,687,1477,682,596,1669,1605,1695,1478,474,615,938,820,1387
1,353,0,57,190,591,474,580,1244,836,3941,179,941,805,645,1225,1228,1576,989,1266,849,523,1440,1403,1481,1300,345,697,949,898,1221
2,297,57,0,134,568,494,524,1197,779,3948,224,952,799,645,1237,1246,1602,935,1289,809,511,1467,1425,1505,1317,337,665,931,870,1235
3,163,190,134,0,554,544,391,1100,647,3986,351,1006,817,685,1292,1315,1686,817,1367,737,529,1553,1500,1585,1382,375,623,920,832,1295
4,586,591,568,554,0,1061,724,807,779,3458,567,565,297,264,829,898,1304,722,982,368,130,1187,1093,1193,947,269,154,366,317,848
5,635,474,494,544,1061,0,778,1632,1078,4377,573,1383,1276,1109,1659,1638,1945,1317,1657,1281,996,1806,1797,1861,1716,818,1155,1422,1362,1647
6,230,580,524,391,724,778,0,922,300,4164,740,1270,1021,943,1546,1599,1993,566,1668,703,766,1866,1792,1885,1656,675,706,1042,892,1561
7,999,1244,1197,1100,807,1632,922,0,685,3573,1304,1226,940,1034,1388,1514,1910,376,1623,439,937,1825,1693,1799,1528,1034,653,761,590,1431
8,490,836,779,647,779,1078,300,685,0,4108,975,1344,1061,1034,1598,1676,2083,310,1761,606,864,1966,1871,1972,1722,831,701,1017,837,1623
9,4043,3941,3948,3986,3458,4377,4164,3573,4108,0,3807,3000,3172,3305,2720,2744,2509,3866,2743,3503,3459,2639,2605,2564,2664,3617,3459,3123,3282,2730
10,510,179,224,351,567,573,740,1304,975,3807,0,810,722,546,1088,1076,1411,1089,1107,883,467,1273,1245,1318,1152,298,700,897,884,1078
11,1095,941,952,1006,565,1383,1270,1226,1344,3000,810,0,298,329,286,332,740,1253,420,843,504,628,528,628,386,632,661,471,637,292
12,873,805,799,817,297,1276,1021,940,1061,3172,722,298,0,183,537,621,1031,956,716,545,290,924,816,919,662,462,367,225,351,562
13,766,645,645,685,264,1109,943,1034,1034,3305,546,329,183,0,611,656,1055,984,730,607,177,933,850,946,714,312,397,394,468,621
14,1378,1225,1237,1292,829,1659,1546,1388,1598,2720,1088,286,537,611,0,151,521,1475,265,1054,783,446,305,410,140,917,900,635,825,54
15,1416,1228,1246,1315,898,1638,1599,1514,1676,2744,1076,332,621,656,151,0,410,1575,116,1158,833,312,195,297,82,945,988,754,938,97
16,1799,1576,1602,1686,1304,1945,1993,1910,2083,2509,1411,740,1031,1055,521,410,0,1985,325,1567,1231,139,218,113,382,1326,1398,1155,1343,481
17,687,989,935,817,722,1317,566,376,310,3866,1089,1253,956,984,1475,1575,1985,0,1672,421,837,1880,1767,1872,1608,870,595,850,658,1508
18,1477,1266,1289,1367,982,1657,1668,1623,1761,2743,1107,420,716,730,265,116,325,1672,0,1259,906,208,140,218,155,1003,1081,862,1043,211
19,682,849,809,737,368,1281,703,439,606,3503,883,843,545,607,1054,1158,1567,421,1259,0,498,1466,1349,1454,1189,601,215,430,239,1088
20,596,523,511,529,130,996,766,937,864,3459,467,504,290,177,783,833,1231,837,906,498,0,1108,1026,1122,890,179,284,432,429,795
21,1669,1440,1467,1553,1187,1806,1866,1825,1966,2639,1273,628,924,933,446,312,139,1880,208,1466,1108,0,155,92,309,1196,1289,1065,1248,397
22,1605,1403,1425,1500,1093,1797,1792,1693,1871,2605,1245,528,816,850,305,195,218,1767,140,1349,1026,155,0,106,165,1132,1183,937,1124,263
23,1695,1481,1505,1585,1193,1861,1885,1799,1972,2564,1318,628,919,946,410,297,113,1872,218,1454,1122,92,106,0,271,1221,1286,1043,1230,368
24,1478,1300,1317,1382,947,1716,1656,1528,1722,2664,1152,386,662,714,140,82,382,1608,155,1189,890,309,165,271,0,1010,1028,773,962,101
25,474,345,337,375,269,818,675,1034,831,3617,298,632,462,312,917,945,1326,870,1003,601,179,1196,1132,1221,1010,0,406,610,585,921
26,615,697,665,623,154,1155,706,653,701,3459,700,661,367,397,900,988,1398,595,1081,215,284,1289,1183,1286,1028,406,0,336,210,928
27,938,949,931,920,366,1422,1042,761,1017,3123,897,471,225,394,635,754,1155,850,862,430,432,1065,937,1043,773,610,336,0,192,675
28,820,898,870,832,317,1362,892,590,837,3282,884,637,351,468,825,938,1343,658,1043,239,429,1248,1124,1230,962,585,210,192,0,862
29,1387,1221,1235,1295,848,1647,1561,1431,1623,2730,1078,292,562,621,54,97,481,1508,211,1088,795,397,263,368,101,921,928,675,862,0
