50005,30233,"50019,50009,50015,50017,50023"
50003,37347,"50025,50027,50021"
50013,7293,"50011,50007"
50007,168323,"50013,50011,50015,50001,50023"
50027,57753,"50025,50003,50017,50001,50021"
50023,59807,"50015,50017,50001,50007,50005"
50001,37363,"50027,50017,50023,50007,50021"
50025,45905,"50003,50027"
50019,27393,"50011,50009,50015,50005"
50011,49946,"50019,50013,50015,50007"
50017,29277,"50027,50001,50023,50005"
50009,5920,"50019,50005"
50021,60572,"50003,50027,50001"
50015,25945,"50019,50011,50023,50007,50005"
