53051,13401,"53063,53065"
53073,226847,"53057,53055,53047"
53007,79074,"53033,53057,53037,53061,53017,53047"
53003,22285,"53023,53075"
53019,7178,"53043,53047,53065"
53017,42938,"53007,53037,53025,53047"
53005,206873,"53071,53025,53021,53039,53077"
53023,2286,"53003,53075,53013"
53033,2269675,"53035,53053,53007,53037,53061,53077"
53049,23365,"53027,53069,53041"
53039,22735,"53005,53059,53077"
53055,17788,"53057,53073,53029,53031,53009"
53027,75636,"53067,53045,53031,53049,53041"
53015,110730,"53011,53059,53069,53041"
53071,62584,"53005,53021,53013"
53025,99123,"53037,53017,53005,53001,53043,53021,53047,53077"
53001,20613,"53025,53043,53021,53075"
53011,503311,"53015,53059"
53043,10876,"53019,53025,53001,53047,53075,53063,53065"
53035,275611,"53053,53033,53061,53029,53045,53031"
53075,47973,"53001,53043,53021,53023,53003,53013,53063"
53045,65726,"53035,53067,53053,53027,53031"
53057,129523,"53073,53007,53061,53029,53055,53047"
53053,921130,"53035,53067,53033,53045,53041,53077"
53067,294793,"53053,53027,53045,53041"
53021,96749,"53005,53071,53025,53001,53075,53013"
53059,12036,"53011,53039,53015,53041,53077"
53069,4422,"53015,53049,53041"
53041,82149,"53067,53053,53027,53015,53049,53059,53069,53077"
53031,32977,"53035,53029,53027,53045,53055,53009"
53013,3952,"53071,53021,53023,53075"
53037,44337,"53033,53007,53017,53025,53077"
53061,827957,"53035,53033,53057,53007,53029"
53077,256728,"53053,53033,53037,53005,53025,53039,53059,53041"
53047,42104,"53057,53073,53007,53017,53019,53025,53043"
53063,539339,"53043,53051,53075,53065"
53029,86857,"53035,53057,53061,53055,53031"
53009,77155,"53055,53031"
53065,46445,"53019,53043,53051,53063"
